Feature,Importance,Original_Feature
trf2__location_Location 44,0.0007738492,location
trf2__u_symptom_Symptom 593,0.0007734834,u
trf2__location_Location 174,0.0007731993,location
trf2__location_Location 82,0.0007699202,location
trf2__location_Location 98,0.0007679502,location
trf2__location_Location 232,0.0007646224,location
trf2__u_symptom_Symptom 43,0.0007632503,u
trf2__u_symptom_Symptom 47,0.00076262164,u
trf2__location_Location 85,0.0007552525,location
trf2__u_symptom_Symptom 212,0.00075449474,u
trf1__urgency,0.0007463695,urgency
trf2__location_Location 186,0.00074137305,location
trf2__u_symptom_Unknown,0.0007346347,u
trf2__location_Location 167,0.0007336261,location
trf2__location_Location 27,0.0007320108,location
trf2__u_symptom_Symptom 177,0.0007315131,u
trf2__u_symptom_Symptom 310,0.00073142746,u
trf2__location_Location 79,0.0007304934,location
trf2__u_symptom_Symptom 475,0.0007293161,u
trf2__u_symptom_Symptom 29,0.00072848937,u
trf2__location_Location 121,0.00072571926,location
trf2__location_Location 34,0.0007237608,location
trf2__u_symptom_Symptom 285,0.0007164302,u
trf2__u_symptom_Symptom 246,0.00071466283,u
trf2__location_Location 231,0.000708995,location
trf2__u_symptom_Symptom 430,0.0007069414,u
trf2__u_symptom_Symptom 504,0.0007044434,u
trf2__u_symptom_Symptom 432,0.00070425123,u
trf2__u_symptom_Symptom 92,0.0007030883,u
trf2__u_symptom_Symptom 210,0.0006997747,u
trf2__u_symptom_Symptom 486,0.0006992625,u
trf1__impact,0.0006971495,impact
trf2__u_symptom_Symptom 249,0.00069342373,u
trf2__u_symptom_Symptom 541,0.00069333805,u
trf2__location_Location 242,0.0006916768,location
trf2__location_Location 177,0.00068677356,location
trf2__location_Location 20,0.00068601413,location
trf2__location_Location 180,0.0006848039,location
trf2__location_Location 210,0.00068438106,location
trf2__location_Location 4,0.000680689,location
trf2__u_symptom_Symptom 494,0.000680097,u
trf2__location_Location 23,0.000679774,location
trf2__location_Location 38,0.00067894656,location
trf2__u_symptom_Symptom 152,0.00066866266,u
trf2__u_symptom_Symptom 472,0.0006595238,u
trf2__u_symptom_Symptom 581,0.0006578667,u
trf2__location_Location 54,0.00065641437,location
trf2__u_symptom_Symptom 219,0.0006536145,u
trf2__location_Location 220,0.0006533845,location
trf2__u_symptom_Symptom 35,0.00065301097,u
trf2__location_Location 110,0.0006515558,location
trf2__u_symptom_Symptom 499,0.0006490904,u
trf2__location_Location 116,0.0006464206,location
