Feature,Importance
trf1__u_symptom_Symptom 525,0.0
trf1__location_Location 132,0.0
trf1__u_symptom_Symptom 522,0.0
trf1__u_symptom_Symptom 521,0.0
trf1__u_symptom_Symptom 520,0.0
trf1__u_symptom_Symptom 518,0.0
trf1__location_Location 134,0.0
trf1__u_symptom_Symptom 516,0.0
trf1__u_symptom_Symptom 515,0.0
trf1__location_Location 137,0.0
trf1__u_symptom_Symptom 511,0.0
trf1__u_symptom_Symptom 507,0.0
trf1__u_symptom_Symptom 505,0.0
trf1__u_symptom_Symptom 503,0.0
trf1__u_symptom_Symptom 502,0.0
trf1__u_symptom_Symptom 501,0.0
trf1__u_symptom_Symptom 500,0.0
trf1__u_symptom_Symptom 50,0.0
trf1__u_symptom_Symptom 5,0.0
trf1__u_symptom_Symptom 498,0.0
trf1__u_symptom_Symptom 497,0.0
trf1__location_Location 138,0.0
trf1__u_symptom_Symptom 533,0.0
trf1__u_symptom_Symptom 535,0.0
trf1__location_Location 123,0.0
trf1__u_symptom_Symptom 536,0.0
trf1__u_symptom_Symptom 570,0.0
trf1__u_symptom_Symptom 569,0.0
trf1__u_symptom_Symptom 568,0.0
trf1__u_symptom_Symptom 567,0.0
trf1__u_symptom_Symptom 566,0.0
trf1__u_symptom_Symptom 565,0.0
trf1__u_symptom_Symptom 564,0.0
trf1__u_symptom_Symptom 563,0.0
trf1__u_symptom_Symptom 562,0.0
trf1__u_symptom_Symptom 560,0.0
trf1__u_symptom_Symptom 559,0.0
trf1__u_symptom_Symptom 556,0.0
trf1__u_symptom_Symptom 555,0.0
trf1__u_symptom_Symptom 553,0.0
trf1__u_symptom_Symptom 552,0.0
trf1__location_Location 124,0.0
trf1__u_symptom_Symptom 550,0.0
trf1__u_symptom_Symptom 55,0.0
trf1__u_symptom_Symptom 548,0.0
trf1__u_symptom_Symptom 547,0.0
trf1__u_symptom_Symptom 546,0.0
trf1__u_symptom_Symptom 545,0.0
trf1__u_symptom_Symptom 544,0.0
trf1__u_symptom_Symptom 542,0.0
trf1__u_symptom_Symptom 541,0.0
trf1__u_symptom_Symptom 540,0.0
trf1__u_symptom_Symptom 537,0.0
trf1__u_symptom_Symptom 390,0.0
trf1__location_Location 213,0.0
trf1__u_symptom_Symptom 388,0.0
trf1__u_symptom_Symptom 15,0.0
trf1__u_symptom_Symptom 144,0.0
trf1__u_symptom_Symptom 143,0.0
trf1__u_symptom_Symptom 142,0.0
trf1__u_symptom_Symptom 14,0.0
trf1__u_symptom_Symptom 137,0.0
trf1__u_symptom_Symptom 135,0.0
trf1__location_Location 185,0.0
trf1__u_symptom_Symptom 133,0.0
trf1__u_symptom_Symptom 130,0.0
trf1__u_symptom_Symptom 129,0.0
trf1__u_symptom_Symptom 125,0.0
trf1__u_symptom_Symptom 124,0.0
trf1__location_Location 186,0.0
trf1__u_symptom_Symptom 12,0.0
trf1__location_Location 189,0.0
trf1__location_Location 19,0.0
trf1__location_Location 190,0.0
trf1__u_symptom_Symptom 112,0.0
trf1__u_symptom_Symptom 111,0.0
trf1__u_symptom_Symptom 110,0.0
trf1__u_symptom_Symptom 11,0.0
trf1__u_symptom_Symptom 109,0.0
trf1__u_symptom_Symptom 103,0.0
trf1__location_Location 191,0.0
trf1__u_symptom_Symptom 101,0.0
trf1__location_Location 193,0.0
trf1__location_Location 99,0.0
trf1__location_Location 98,0.0
trf1__location_Location 194,0.0
trf1__u_symptom_Symptom 148,0.0
trf1__u_symptom_Symptom 150,0.0
trf1__location_Location 94,0.0
trf1__u_symptom_Symptom 151,0.0
trf1__u_symptom_Symptom 188,0.0
trf1__u_symptom_Symptom 187,0.0
trf1__location_Location 183,0.0
